kdbRecvTime,x
2023-03-02D20:47:29.500000000,4164
2023-03-02D20:47:29.750000000,7129
2023-03-02D20:47:30.000000000,4915
2023-03-02D20:47:30.250000000,6036
2023-03-02D20:47:30.500000000,5554
2023-03-02D20:47:30.750000000,3960
2023-03-02D20:47:31.000000000,3975
2023-03-02D20:47:31.250000000,6839
2023-03-02D20:47:31.500000000,9805
2023-03-02D20:47:31.750000000,5379
2023-03-02D20:47:32.000000000,6811
2023-03-02D20:47:32.250000000,7077
2023-03-02D20:47:32.500000000,4959
2023-03-02D20:47:32.750000000,5274
2023-03-02D20:47:33.000000000,4466
2023-03-02D20:47:33.250000000,4680
2023-03-02D20:47:33.500000000,3691
2023-03-02D20:47:33.750000000,4795
2023-03-02D20:47:34.000000000,3944
2023-03-02D20:47:34.250000000,3723
2023-03-02D20:47:34.500000000,15488
2023-03-02D20:47:34.750000000,32687
2023-03-02D20:47:35.000000000,26364
2023-03-02D20:47:35.250000000,28878
2023-03-02D20:47:35.500000000,7286
2023-03-02D20:47:35.750000000,6527
2023-03-02D20:47:36.000000000,12537
2023-03-02D20:47:36.250000000,8043
2023-03-02D20:47:36.500000000,4127
2023-03-02D20:47:36.750000000,7297
2023-03-02D20:47:37.000000000,6800
2023-03-02D20:47:37.250000000,4700
2023-03-02D20:47:37.500000000,9303
2023-03-02D20:47:37.750000000,5099
2023-03-02D20:47:38.000000000,4920
2023-03-02D20:47:38.250000000,6062
2023-03-02D20:47:38.500000000,11512
2023-03-02D20:47:38.750000000,18247
2023-03-02D20:47:39.000000000,9138
2023-03-02D20:47:39.250000000,10127
2023-03-02D20:47:39.500000000,24276
2023-03-02D20:47:39.750000000,16217
2023-03-02D20:47:40.000000000,9026
2023-03-02D20:47:40.250000000,5105
2023-03-02D20:47:40.500000000,12440
2023-03-02D20:47:40.750000000,10772
2023-03-02D20:47:41.000000000,4282
2023-03-02D20:47:41.250000000,3678
2023-03-02D20:47:41.500000000,6964
2023-03-02D20:47:41.750000000,3588
2023-03-02D20:47:42.000000000,3780
2023-03-02D20:47:42.250000000,9722
2023-03-02D20:47:42.500000000,6394
2023-03-02D20:47:42.750000000,5838
2023-03-02D20:47:43.000000000,6659
2023-03-02D20:47:43.250000000,3423
2023-03-02D20:47:43.500000000,3727
2023-03-02D20:47:43.750000000,12100
2023-03-02D20:47:44.000000000,22750
2023-03-02D20:47:44.250000000,4721
2023-03-02D20:47:44.500000000,6912
2023-03-02D20:47:44.750000000,13427
2023-03-02D20:47:45.000000000,5522
2023-03-02D20:47:45.250000000,6939
2023-03-02D20:47:45.500000000,4144
2023-03-02D20:47:45.750000000,4177
2023-03-02D20:47:46.000000000,8691
2023-03-02D20:47:46.250000000,10191
2023-03-02D20:47:46.500000000,3684
2023-03-02D20:47:46.750000000,3844
2023-03-02D20:47:47.000000000,5412
2023-03-02D20:47:47.250000000,10277
2023-03-02D20:47:47.500000000,6289
2023-03-02D20:47:47.750000000,6294
2023-03-02D20:47:48.000000000,5211
2023-03-02D20:47:48.250000000,5264
2023-03-02D20:47:48.500000000,14129
2023-03-02D20:47:48.750000000,4872
2023-03-02D20:47:49.000000000,4677
2023-03-02D20:47:49.250000000,6183
2023-03-02D20:47:49.500000000,4878
2023-03-02D20:47:49.750000000,5514
2023-03-02D20:47:50.000000000,9706
2023-03-02D20:47:50.250000000,4568
2023-03-02D20:47:50.500000000,3755
2023-03-02D20:47:50.750000000,6230
2023-03-02D20:47:51.000000000,4505
2023-03-02D20:47:51.250000000,4227
2023-03-02D20:47:51.500000000,10891
2023-03-02D20:47:51.750000000,5379
2023-03-02D20:47:52.000000000,8389
2023-03-02D20:47:52.250000000,11075
2023-03-02D20:47:52.500000000,4272
2023-03-02D20:47:52.750000000,3613
2023-03-02D20:47:53.000000000,9103
2023-03-02D20:47:53.250000000,4647
2023-03-02D20:47:53.500000000,6419
2023-03-02D20:47:53.750000000,10801
